path,category,manual_review_completed,static_scan_completed,tests,risks,findings,remediation,final_status
scripts/generate-audit-fixtures.mjs,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
scripts/generate-provenance.mjs,build/release/security script,REVIEWED,COMPLETED,npm run release:repro; tag workflow,Confirmed baseline or additional finding remediated; CI evidence pending,AF-PROV-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
scripts/generate-sbom.mjs,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
scripts/release-lib.d.mts,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
scripts/release-lib.mjs,build/release/security script,REVIEWED,COMPLETED,tests/releaseScripts.test.ts,Supply-chain/release behavior reviewed,,None required,PASS
scripts/release.mjs,build/release/security script,REVIEWED,COMPLETED,tests/releaseScripts.test.ts; npm run release:repro,Confirmed baseline or additional finding remediated; CI evidence pending,AF-PKG-001;AF-PROV-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
scripts/scan-source.mjs,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
scripts/validate-release-package.mjs,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
scripts/validate-store-assets.mjs,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
scripts/validate-version.mjs,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
scripts/verify-provenance.mjs,build/release/security script,REVIEWED,COMPLETED,npm run release:repro; tag workflow,Confirmed baseline or additional finding remediated; CI evidence pending,AF-PROV-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
scripts/verify-release.mjs,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
scripts/verify-required-workflows.d.mts,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
scripts/verify-required-workflows.mjs,build/release/security script,REVIEWED,COMPLETED,,Supply-chain/release behavior reviewed,,None required,PASS
security/npm-audit-baseline.json,configuration/documentation,N/A,COMPLETED,,No material file-specific risk identified,,None required,N/A
src/app/AppLauncher.tsx,production UI/source,YES,COMPLETED,tests/launcherDiscovery.test.ts; e2e/extension.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-UX-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/app/WorkspaceApp.tsx,production UI/source,YES,COMPLETED,tests/launcherDiscovery.test.ts; e2e/extension.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-UX-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/app/usePrivacyMode.ts,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/app/useWorkspace.ts,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/browser/api.ts,Chrome API boundary,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/browser/messages.ts,Chrome API boundary,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/browser/platform.ts,Chrome API boundary,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/browser/privacySession.ts,Chrome API boundary,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/components/Button.tsx,production UI/source,YES,COMPLETED,tests/interactionRegressions.test.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-INT-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/components/FloatingContextMenu.tsx,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/components/IconButton.tsx,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/components/Logo.tsx,production UI/source,YES,COMPLETED,tests/accessibility.test.ts; e2e/extension.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-A11Y-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/components/Modal.tsx,production UI/source,YES,COMPLETED,tests/accessibility.test.ts; tests/interactionRegressions.test.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-A11Y-002,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/components/MoveDialog.tsx,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/components/NameDialog.tsx,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/components/ToastRegion.tsx,production UI/source,YES,COMPLETED,tests/accessibility.test.ts; tests/interactionRegressions.test.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-A11Y-003,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/db/database.ts,database/migration/repository,YES,COMPLETED,tests/migrations.test.ts; e2e/upgrade.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-UX-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/db/defaults.ts,database/migration/repository,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/db/migrations.ts,database/migration/repository,YES,COMPLETED,tests/migrations.test.ts; e2e/upgrade.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-UX-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/db/repository.ts,database/migration/repository,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/errors.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/icons.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/importLimits.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/mediaLimits.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/models.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/ordering.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/quickSave.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/schemas.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/text.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/themes.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/domain/urls.ts,domain/schema/security validation,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/features/appearance/themeRuntime.ts,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/features/appearance/useThemeRuntime.ts,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/features/boards/BoardCanvas.tsx,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/features/boards/BoardColumn.tsx,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/features/boards/layout.ts,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/features/bookmarks/BookmarkCard.tsx,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/features/bookmarks/BookmarkEditor.tsx,production UI/source,YES,COMPLETED,tests/bookmarkEditorConcurrency.test.ts; e2e/extension.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-RACE-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/features/search/SearchPalette.tsx,production UI/source,YES,COMPLETED,tests/interactionRegressions.test.ts; tests/search.test.ts; e2e/extension.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-INT-002,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/features/settings/SettingsDialog.tsx,production UI/source,YES,COMPLETED,tests/settingsImportState.test.ts; e2e/extension.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-STATE-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/features/trash/TrashDialog.tsx,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/i18n/index.tsx,localization,YES,COMPLETED,tests/i18n.test.ts; e2e/extension.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-UX-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/search/searchEngine.ts,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/services/exportImport.ts,import/export/media service,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/services/importWorker.ts,import/export/media service,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/services/wallpaper.ts,import/export/media service,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
src/styles/global.css,production styles,YES,COMPLETED,e2e/extension.spec.ts,Confirmed baseline or additional finding remediated; CI evidence pending,AF-UX-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
src/utils/ids.ts,production UI/source,YES,COMPLETED,,No additional defect confirmed during manual review,,None required,PASS
store-assets/README.md,Chrome Web Store asset/listing,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
store-assets/icon/icon-128.png,Chrome Web Store asset/listing,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
store-assets/listing/store-listing-en.md,Chrome Web Store asset/listing,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
store-assets/listing/store-listing-ru.md,Chrome Web Store asset/listing,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
store-assets/listing/submission-values.md,Chrome Web Store asset/listing,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
store-assets/promo/marquee-1400x560.png,Chrome Web Store asset/listing,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
store-assets/promo/marquee-source.svg,Chrome Web Store asset/listing,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
store-assets/promo/small-promo-440x280.png,Chrome Web Store asset/listing,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
store-assets/promo/small-promo-source.svg,Chrome Web Store asset/listing,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
store-assets/screenshots/01-workspace-1280x800.png,Chrome Web Store asset/listing,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
store-assets/screenshots/02-search-1280x800.png,Chrome Web Store asset/listing,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
store-assets/screenshots/03-settings-1280x800.png,Chrome Web Store asset/listing,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
store-assets/screenshots/04-privacy-1280x800.png,Chrome Web Store asset/listing,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
store-assets/screenshots/05-trash-1280x800.png,Chrome Web Store asset/listing,REVIEWED,N/A binary metadata/asset validation,,No material file-specific risk identified,,None required,PASS
tests/accessibility.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/auditFixtures.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/bookmarkEditorConcurrency.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/brand.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/browserApi.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/domain.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/fixtures/audit/backups/backup-v1-golden.json,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/fixtures/audit/backups/backup-v2-golden.json,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/fixtures/audit/migrations/db-v1.json,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/fixtures/audit/migrations/db-v2.json,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/fixtures/audit/migrations/db-v3.json,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/fixtures/audit/migrations/db-v4.json,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/fixtures/audit/migrations/db-v5.json,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/i18n.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/importExport.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/interactionRegressions.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/launcherDiscovery.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/layout.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/manifestPolicy.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/migrations.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/ordering.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/performance.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/privacy.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/privacySearch.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/privacySession.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/quickSave.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/releaseScripts.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/repository.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/search.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/settingsImportState.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/setup.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/trashDialog.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tests/wallpaper.test.ts,unit/integration test or fixture,REVIEWED,COMPLETED,,Test quality and false-positive risk reviewed,,None required,PASS
tsconfig.json,configuration/documentation,REVIEWED,COMPLETED,,No material file-specific risk identified,,None required,PASS
vitest.config.ts,configuration/documentation,REVIEWED,COMPLETED,npm run test:coverage,Confirmed baseline or additional finding remediated; CI evidence pending,AF-COV-001,See docs/audit/3.0.0/FINDINGS.md and linked regression/release gates,REMEDIATED_PENDING_CI
wxt.config.ts,configuration/documentation,YES,COMPLETED,tests/manifestPolicy.test.ts; scripts/validate-version.mjs,No additional defect confirmed during manual review,,None required,PASS
